,cnt_attribute,cnt_query,name,nwords
100% bcf strudon olefin,1,0,100% bcf strudon olefin,4
100% greensmart p. e. t. polyester textured cut pile carpet,1,0,100% greensmart p. e. t. polyester textured cut pile carpet,10
100% high density polyurethane foam,1,0,100% high density polyurethane foam,5
100% micro denier polyester,2,0,100% micro denier polyester,4
100% polypropylene,3,0,100% polypropylene,2
100% post industrial recycled synthetic fibers with a non skid rubber backing,19,0,100% post industrial recycled synthetic fibers with a non skid rubber backing,12
100% post industrial recycled synthetic fibers with all natural rubber,11,0,100% post industrial recycled synthetic fibers with all natural rubber,10
100% recycled synthetic fiber pad with rubber sbr blend backing,1,0,100% recycled synthetic fiber pad with rubber sbr blend backing,10
100% recycled synthetic fibers,3,0,100% recycled synthetic fibers,4
100% recycled synthetic fibers latex backing,2,0,100% recycled synthetic fibers latex backing,6
100% softsense nylon fiber,1,0,100% softsense nylon fiber,4
100% solution dyed polyester,3,0,100% solution dyed polyester,4
15% polyester. 85% pvc foam,14,0,15% polyester. 85% pvc foam,5
15-mm veneered mdf. wicker baskets. black powder coat 7.8 round pipe.,1,0,15-mm veneered mdf. wicker baskets. black powder coat 7.8 round pipe.,11
16-mm particle board with wood veneer and stainless steel clad poles,3,0,16-mm particle board with wood veneer and stainless steel clad poles,11
1680d ballistic polyester polyester,1,0,1680d ballistic polyester polyester,4
201 stainless steel. 430 stainless steel. tpr,2,0,201 stainless steel. 430 stainless steel. tpr,7
21% polyester 79% pvc,3,0,21% polyester 79% pvc,4
22% polyester 78% pvc,4,0,22% polyester 78% pvc,4
30% diisononyl phthalate. 28% pvc. 25% calcium carbonate. 17% polyester,16,0,30% diisononyl phthalate. 28% pvc. 25% calcium carbonate. 17% polyester,10
32% diilsononyl phthalate. 30% pvc. 26% calcium carbonate. 12% polyester,8,0,32% diilsononyl phthalate. 30% pvc. 26% calcium carbonate. 12% polyester,10
34% steel. 27% plastic pvc. 9% polypropylene. 9% glass. 9% copper. 9% paint and 9% other,4,0,34% steel. 27% plastic pvc. 9% polypropylene. 9% glass. 9% copper. 9% paint and 9% other,16
35% wool/65%. polyester,4,0,35% wool/65%. polyester,3
40% plant based oils,1,0,40% plant based oils,4
430 stainless steel,6,0,430 stainless steel,3
5 density rebond carpet cushion,10,0,5 density rebond carpet cushion,5
63% polyester 37% pvc,10,0,63% polyester 37% pvc,4
67% polythylene terephthalate. 21% adhesive. 12% pe film,8,0,67% polythylene terephthalate. 21% adhesive. 12% pe film,8
7% polyester 93% pvc,3,0,7% polyester 93% pvc,4
a composition of mdf. mdf. board and multiple layers of impregnated papers and aluminum oxide. with hdf. hdf. core superior performing inner core that resists surface spills or moisture from the subfloor. laminate,2,0,a composition of mdf. mdf. board and multiple layers of impregnated papers and aluminum oxide. with hdf. hdf. core superior performing inner core that resists surface spills or moisture from the subfloor. laminate,33
abs,174,90,abs,1
abs abs plastic,2,0,abs abs plastic,3
abs acrylic,1,0,abs acrylic,2
abs plastic and chrome,3,0,abs plastic and chrome,4
abs plastic. chrome,4,0,abs plastic. chrome,3
acrylic,1127,256,acrylic,1
acrylic acrylic,1,0,acrylic acrylic,2
acrylic and pigments,2,0,acrylic and pigments,3
acrylic fiberglass,1,0,acrylic fiberglass,2
acrylic fiberglass acrylic,9,0,acrylic fiberglass acrylic,3
acrylic over wire frame,12,0,acrylic over wire frame,4
alder,1,55,alder,1
all natural,2,0,all natural,2
alloy,50,8,alloy,1
aluminized steel,3,0,aluminized steel,2
aluminum,3147,1012,aluminum,1
aluminum and glass,1,0,aluminum and glass,3
aluminum plastic,10,0,aluminum plastic,2
aluminum rail. metal supports and plastic carriers aluminum,1,0,aluminum rail. metal supports and plastic carriers aluminum,8
aluminum rod. acrylic finials aluminum,2,0,aluminum rod. acrylic finials aluminum,5
aluminum rod. zinc finial aluminum,6,0,aluminum rod. zinc finial aluminum,5
aluminum stainless steel,1,0,aluminum stainless steel,3
aluminum steel,1,0,aluminum steel,2
aluminum vinyl,1,0,aluminum vinyl,2
aluminum. copper and zinc,1,0,aluminum. copper and zinc,4
aluminum. glass,2,0,aluminum. glass,2
anodized aluminum aluminum,5,0,anodized aluminum aluminum,3
anodized steel,8,0,anodized steel,2
ash,7,61,ash,1
asian hardwood legs with asian hardwood veneer over mdf,2,0,asian hardwood legs with asian hardwood veneer over mdf,9
asphalt,39,72,asphalt,1
assorted asian hardwoods. mdf w maple veneer. 5-mm tempered glass. metal hardware wood,1,0,assorted asian hardwoods. mdf w maple veneer. 5-mm tempered glass. metal hardware wood,13
bamboo,162,288,bamboo,1
bamboo handle and steel bristles,3,0,bamboo handle and steel bristles,5
bamboo wood,1,1,bamboo wood,2
banana leaves. mahogany solids. plywood,10,0,banana leaves. mahogany solids. plywood,5
beech veneer.,2,0,beech veneer.,2
birch,39,105,birch,1
birch veneers with engineered wood,2,0,birch veneers with engineered wood,5
birch wood,1,17,birch wood,2
birch. mdf and mahogany veneers,2,0,birch. mdf and mahogany veneers,5
black plastic handle and stainless steel bristles,4,0,black plastic handle and stainless steel bristles,7
boxwood,7,29,boxwood,1
braided stainless steel over pvc,8,0,braided stainless steel over pvc,5
brass,2437,908,brass,1
brass and plastic,1,0,brass and plastic,3
brass and stainless steel,3,0,brass and stainless steel,4
brass and steel,4,0,brass and steel,3
brass brass. porcelain,4,0,brass brass. porcelain,3
brass cast metal,1,0,brass cast metal,3
brass copper,5,0,brass copper,2
brass dispenser. plastic bottle plastic,4,0,brass dispenser. plastic bottle plastic,5
brass metal,4,0,brass metal,2
brass plastic,2,0,brass plastic,2
brass plastic plastic,1,0,brass plastic plastic,3
brass porcelain,7,0,brass porcelain,2
brass solid brass,3,0,brass solid brass,3
brass tubing,3,3,brass tubing,2
brass. plastic,6,0,brass. plastic,2
brass. plastic metal,2,0,brass. plastic metal,3
brass. rubber. plastic. stainless steel,5,0,brass. rubber. plastic. stainless steel,5
brazing rod,2,0,brazing rod,2
brazing rods,2,6,brazing rods,2
breathable polyethylene,7,0,breathable polyethylene,2
bronze,76,1498,bronze,1
bronze housing,6,0,bronze housing,2
brown fabric,3,0,brown fabric,2
brown pvc,2,0,brown pvc,2
burlap over wire frame,1,0,burlap over wire frame,4
cable,2,977,cable,1
canvas,30,95,canvas,1
canvas fabric,1,0,canvas fabric,2
carb compliant. laminated composite wood,3,0,carb compliant. laminated composite wood,5
carbide,5,71,carbide,1
carbon steel,50,9,carbon steel,2
carbon steel steel,3,0,carbon steel steel,3
cardboard,107,12,cardboard,1
cast acrylic acrylic,10,0,cast acrylic acrylic,3
cast aluminum,1,0,cast aluminum,2
cast iron,358,185,cast iron,2
cast iron cast iron,2,0,cast iron cast iron,4
cast iron kohler cast iron,1,0,cast iron kohler cast iron,5
cast iron. chrome plated,1,0,cast iron. chrome plated,4
cast iron. silicone. pp plastic. stainless,1,0,cast iron. silicone. pp plastic. stainless,6
cast iron. silicone. pp plastic. stainless steel,2,0,cast iron. silicone. pp plastic. stainless steel,7
cast iron. stainless steel,2,0,cast iron. stainless steel,4
cast iron. steel,1,0,cast iron. steel,3
cast metal,335,0,cast metal,2
cast metal zinc,17,0,cast metal zinc,3
cast polymers polymer,3,0,cast polymers polymer,3
cedar,113,661,cedar,1
cedar lumber with vinyl roof,1,0,cedar lumber with vinyl roof,5
cellulose,4,19,cellulose,1
cement,192,407,cement,1
ceramic,339,721,ceramic,1
ceramic ceramic,5,0,ceramic ceramic,2
ceramic ceramic tile,1,0,ceramic ceramic tile,3
ceramic porcelain,2,0,ceramic porcelain,2
charcoal filter,2,1,charcoal filter,2
cherry,1,169,cherry,1
chrome,53,750,chrome,1
chrome and acrylic,1,0,chrome and acrylic,3
chrome and metal,1,0,chrome and metal,3
chrome and vinyl,2,0,chrome and vinyl,3
chrome and wood,1,0,chrome and wood,3
chrome brushed nickel,1,0,chrome brushed nickel,3
chrome metal,4,0,chrome metal,2
chrome plated,1,8,chrome plated,2
chrome plated metal tube. 
